"Participant","Date","Difficulty","TotalScore","Flight","Bonus","Mine","Fortress","NumberofBonus","NumberofMine","Bonus_Prct","Mine_Prct","FortressShot","NumberOfShots","NumberOfActions"
"001","2022-02-21_10-43-04","monotask",1250,0,0,0,1250,0,0,NA,NA,74,142,355
"001","2022-02-21_10-46-24","multitask",1590,-420,850,660,500,15,20,66.6666666666667,65,36,92,352
"001","2022-02-21_10-49-44","monotask",1595,-155,0,0,1750,0,0,NA,NA,94,163,339
"001","2022-02-21_10-53-06","multitask",1985,-405,550,1090,750,17,22,41.1764705882353,90.9090909090909,44,113,393
"001","2022-02-21_10-56-57","monotask",1465,-35,0,0,1500,0,0,NA,NA,88,172,397
"001","2022-02-21_11-00-10","multitask",1895,-545,700,990,750,12,21,75,85.7142857142857,43,106,380
"001","2022-02-21_11-03-20","monotask",1415,-85,0,0,1500,0,0,NA,NA,82,152,403
"001","2022-02-21_11-06-47","multitask",1425,-555,600,880,500,14,22,57.1428571428571,72.7272727272727,36,104,399
"001","2022-02-21_11-10-03","monotask",1930,-70,0,0,2000,0,0,NA,NA,104,172,439
"001","2022-02-21_11-13-17","multitask",1945,-405,800,800,750,11,21,90.9090909090909,76.1904761904762,50,136,401
"002","2022-02-21_17-44-13","monotask",-355,-855,0,0,500,0,0,NA,NA,32,65,298
"002","2022-02-21_17-47-29","multitask",-270,-1460,400,540,250,10,17,70,70.5882352941177,15,60,282
"002","2022-02-21_17-50-51","monotask",-160,-660,0,0,500,0,0,NA,NA,30,68,320
"002","2022-02-21_17-54-05","multitask",-1090,-2320,550,430,250,15,16,66.6666666666667,56.25,12,54,277
"002","2022-02-21_17-57-21","monotask",-265,-765,0,0,500,0,0,NA,NA,36,68,293
"002","2022-02-21_18-00-33","multitask",-870,-1860,400,340,250,17,16,41.1764705882353,56.25,15,62,310
"002","2022-02-21_18-03-53","monotask",-875,-1125,0,0,250,0,0,NA,NA,26,59,319
"002","2022-02-21_18-07-07","multitask",-410,-1330,50,620,250,6,20,33.3333333333333,65,24,69,280
"002","2022-02-21_18-10-55","monotask",-640,-1140,0,0,500,0,0,NA,NA,35,63,313
"002","2022-02-21_18-14-05","multitask",-810,-1650,350,490,0,13,18,53.8461538461538,66.6666666666667,14,65,304
"003","2022-02-22_10-49-40","monotask",1500,0,0,0,1500,0,0,NA,NA,74,113,350
"003","2022-02-22_10-53-07","multitask",1540,-220,300,960,500,14,21,42.8571428571429,90.4761904761905,33,90,365
"003","2022-02-22_10-56-37","monotask",1200,-50,0,0,1250,0,0,NA,NA,72,111,337
"003","2022-02-22_10-59-52","multitask",1600,0,550,550,500,12,19,58.3333333333333,73.6842105263158,32,85,357
"003","2022-02-22_11-03-10","monotask",1700,-50,0,0,1750,0,0,NA,NA,89,121,388
"003","2022-02-22_11-06-20","multitask",1640,-150,550,740,500,14,19,50,84.2105263157895,36,89,368
"003","2022-02-22_11-09-37","monotask",1750,0,0,0,1750,0,0,NA,NA,100,148,391
"003","2022-02-22_11-12-49","multitask",1940,-150,300,790,1000,18,19,33.3333333333333,84.2105263157895,52,114,362
"003","2022-02-22_11-16-09","monotask",1600,-150,0,0,1750,0,0,NA,NA,97,131,428
"003","2022-02-22_11-19-19","multitask",2550,-100,550,1100,1000,13,21,61.5384615384615,100,59,106,375
"004","2022-02-22_13-44-26","monotask",1750,0,0,0,1750,0,0,NA,NA,96,153,336
"004","2022-02-22_13-48-05","multitask",1580,-100,450,730,500,14,20,50,80,40,114,389
"004","2022-02-22_13-51-31","monotask",2200,-50,0,0,2250,0,0,NA,NA,113,175,328
"004","2022-02-22_13-54-51","multitask",1860,-150,400,860,750,10,21,50,80.9523809523809,48,125,365
"004","2022-02-22_13-58-09","monotask",2500,0,0,0,2500,0,0,NA,NA,127,181,355
"004","2022-02-22_14-01-19","multitask",2450,-100,550,1000,1000,14,22,50,86.3636363636364,61,122,339
"004","2022-02-22_14-04-36","monotask",3000,0,0,0,3000,0,0,NA,NA,150,193,438
"004","2022-02-22_14-07-52","multitask",2900,-300,550,900,1750,13,21,61.5384615384615,80.9523809523809,98,150,454
